Step,MidPrice,Quote_Bid,Quote_Ask,Action,Trade_Qty,Inventory,Cash,Total_PnL
1,99.643,98.985,100.301,BOTH,18,0,10011.84,11.84
2,99.837,99.179,100.495,BOTH,6,0,10015.79,15.79
3,99.511,98.853,100.169,SELL,10,-10,11017.48,22.37
4,99.327,98.920,100.235,BOTH,18,-10,11029.32,36.05
5,99.094,98.686,100.002,NONE,0,-10,11029.32,36.05
6,99.015,98.607,99.923,NONE,0,-10,11029.32,36.05
7,99.313,98.905,100.221,BOTH,4,-10,11031.95,38.82
8,99.793,99.385,100.701,BUY,2,-8,10833.18,34.84
9,99.701,99.243,100.559,BUY,4,-4,10436.21,37.41
10,100.170,99.612,100.928,BOTH,18,-4,10448.05,47.37
11,100.206,99.648,100.964,NONE,0,-4,10448.05,47.37
12,99.745,99.187,100.503,BOTH,14,-4,10457.26,58.28
13,99.906,99.348,100.663,BUY,1,-3,10357.91,58.20
14,100.112,99.529,100.845,NONE,0,-3,10357.91,58.20
15,100.354,99.771,101.087,NONE,0,-3,10357.91,58.20
16,100.430,99.847,101.163,BUY,8,5,9559.14,61.29
17,100.595,99.812,101.128,SELL,6,-1,10165.91,65.31
18,100.734,100.101,101.417,BUY,1,0,10065.81,65.81
19,101.195,100.537,101.853,SELL,8,-8,10880.63,71.07
20,101.599,101.142,102.457,BUY,6,-2,10273.78,70.58
21,101.918,101.310,102.626,NONE,0,-2,10273.78,70.58
22,102.349,101.741,103.057,BUY,10,8,9256.36,75.16
23,102.201,101.344,102.659,NONE,0,8,9256.36,75.16
24,101.736,100.878,102.193,SELL,1,7,9358.56,70.71
25,101.459,100.626,101.942,SELL,9,-2,10276.03,73.12
26,101.082,100.474,101.790,SELL,10,-12,11293.93,80.95
27,100.723,100.365,101.681,NONE,0,-12,11293.93,80.95
28,101.109,100.751,102.067,BUY,5,-7,10790.18,82.41
29,100.842,100.359,101.675,BUY,2,-5,10589.46,85.25
30,100.874,100.341,101.657,SELL,9,-14,11504.37,92.13
31,101.012,100.705,102.020,BUY,7,-7,10799.44,92.35
32,100.956,100.473,101.789,BOTH,10,-7,10806.02,99.33
33,100.457,99.974,101.290,BUY,4,-3,10406.12,104.75
34,100.045,99.462,100.778,NONE,0,-3,10406.12,104.75
35,100.254,99.671,100.987,BUY,6,3,9808.10,108.86
36,100.391,99.658,100.974,NONE,0,3,9808.10,108.86
37,100.689,99.956,101.271,BOTH,2,3,9809.41,111.48
38,100.256,99.523,100.839,NONE,0,3,9809.41,111.48
